"Species","Start_time","End_time","Error","Num_presences"
"Abies concolor","2023-05-07 20:15:15","2023-05-07 20:15:15",NA,9217
"Canis lupus","2023-05-07 20:15:50","2023-05-07 20:15:50",NA,10000
